Date,Consumption,Atypical_Day,Religious Holidays,Consumption_t-1,Consumption_t-2,Consumption_t-3,Consumption_t-4,Consumption_t-5,Consumption_t-6,Consumption_t-7,Consumption_t-8,Consumption_t-9,Consumption_t-10,Consumption_t-11,Consumption_t-12,Consumption_t-13,Consumption_t-14
2019-09-22,755722.8300000002,1.0,0.0,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999,839070.9100000001
2019-09-23,781993.6599999998,0.0,0.0,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999,860690.3499999999
2019-09-24,790835.0900000002,0.0,0.0,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19,865647.5099999999
2019-09-25,785496.59,0.0,0.0,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001,863468.19
2019-09-26,785270.3,0.0,0.0,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43,819044.06,807066.26,705284.2,798045.1299999999,845986.1100000001
2019-09-27,751040.8199999998,0.0,0.0,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43,819044.06,807066.26,705284.2,798045.1299999999
2019-09-28,664945.02,1.0,0.0,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43,819044.06,807066.26,705284.2
2019-09-29,761379.59,1.0,0.0,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43,819044.06,807066.26
2019-09-30,778006.3600000001,0.0,0.0,761379.59,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43,819044.06
2019-10-01,784800.93,0.0,0.0,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002,820813.43
2019-10-02,785727.79,0.0,0.0,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73,820973.2000000002
2019-10-03,782614.6799999998,0.0,0.0,785727.79,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69,804155.73
2019-10-04,736929.4400000002,0.0,0.0,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997,763560.69
2019-10-05,651366.53,1.0,0.0,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002,662408.4599999997
2019-10-06,738455.5400000002,1.0,0.0,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998,755722.8300000002
2019-10-07,770858.8800000001,0.0,0.0,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002,781993.6599999998
2019-10-08,765447.9600000002,0.0,0.0,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3,785496.59,790835.0900000002
2019-10-09,765054.23,0.0,0.0,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3,785496.59
2019-10-10,763606.8899999999,0.0,0.0,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998,785270.3
2019-10-11,724288.99,0.0,0.0,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59,664945.02,751040.8199999998
2019-10-12,647794.8999999999,1.0,0.0,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59,664945.02
2019-10-13,744429.1799999998,1.0,0.0,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001,761379.59
2019-10-14,765952.7400000001,0.0,0.0,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93,778006.3600000001
2019-10-15,771719.7899999998,0.0,0.0,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79,784800.93
2019-10-16,771342.9199999998,0.0,0.0,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998,785727.79
2019-10-17,764368.6000000002,0.0,0.0,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002,782614.6799999998
2019-10-18,728726.3100000002,0.0,0.0,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53,736929.4400000002
2019-10-19,641373.88,1.0,0.0,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002,651366.53
2019-10-20,738241.56,1.0,0.0,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001,738455.5400000002
2019-10-21,763348.4599999998,0.0,0.0,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002,770858.8800000001
2019-10-22,757892.52,0.0,0.0,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23,765447.9600000002
2019-10-23,761193.47,0.0,0.0,757892.52,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999,765054.23
2019-10-24,757336.51,0.0,0.0,761193.47,757892.52,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99,763606.8899999999
2019-10-25,725304.2599999999,0.0,0.0,757336.51,761193.47,757892.52,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999,724288.99
2019-10-26,643927.5,1.0,0.0,725304.2599999999,757336.51,761193.47,757892.52,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998,647794.8999999999
2019-10-27,687326.0700000001,1.0,0.0,643927.5,725304.2599999999,757336.51,761193.47,757892.52,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001,744429.1799999998
2019-10-28,664088.2999999999,0.0,0.0,687326.0700000001,643927.5,725304.2599999999,757336.51,761193.47,757892.52,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998,765952.7400000001
2019-10-29,745798.51,1.0,0.0,664088.2999999999,687326.0700000001,643927.5,725304.2599999999,757336.51,761193.47,757892.52,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998,771719.7899999998
2019-10-30,762912.4299999998,0.0,0.0,745798.51,664088.2999999999,687326.0700000001,643927.5,725304.2599999999,757336.51,761193.47,757892.52,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002,771342.9199999998
2019-10-31,778573.21,0.0,0.0,762912.4299999998,745798.51,664088.2999999999,687326.0700000001,643927.5,725304.2599999999,757336.51,761193.47,757892.52,763348.4599999998,738241.56,641373.88,728726.3100000002,764368.6000000002
